SiteCode;RefCode;Country;State;Municipality;Locality;Latitude;Longitude;Precision;Vegetation;VegType;Domain;Elevation;Protection;MeanAnnTemp;MeanAnnRain
BFA145;BFR015;Algeria;;Zawia tahtania;Zawia tahtania;28.03389;1.659626;Not precise;cave, forest and urban areas;;;NA;NA;23.3;22
BFA146;BFR016;Brazil;São Paulo;Caieiras, Mairiporã, Guarulhos, and São Paulo;The Parque Estadual da Cantareira;-23.40000;-46.59166667;Precise;Atlantic rain forest;Rainforest;Atlantic forest;800 - 1700;NA;17.1;1432
BFA147;BFR017;Brazil;Sergipe;Itaporanga d’Ajuda;Reserva Particular do Patrimônio Natural do Caju RPPN do Caju;-11.11990;-37.184222;Precise;Atlantic Forest associated with restinga habitats;Coastal sandy mosaic;Atlantic forest;NA;NA;25.4;1428
BFA148;BFR018;Brazil;Sergipe;Sergipe;Serra de Itabaiana National Park (PNSI);-10.769095;-37.33692;Precise;Forest areas, natural open areas and disturbed open areas;Coastal sandy mosaic;Atlantic forest;NA;NA;24;1297
BFA149;BFR018;Brazil;Sergipe;Capela;Wildlife Refuge Mata do Junco (RVSMJ);-10.48333333;-36.96667;Precise;Patches with different arboreal strata, intensive logging and monocultivo of sugar cane;Coastal sandy mosaic;Atlantic forest;NA;NA;25.1;1128
BFA150;BFR019;Mexico;Yucatan;Buctzotz, Espitia and Tunkas;Buctzotz, Espitia and Tunkas;20.83333;-87.83333333;Precise;man made pasture;;;NA;NA;25.2;1175
BFA151;BFR019;Mexico;Yucatan;Buctzotz, Espitia and Tunkas;Buctzotz, Espitia and Tunkas;21.33333;-89;Not precise;Tropical semi-deciduos forest;;;NA;NA;25.7;755
BFA152;BFR020;Madagascar;Antananarivo;Antananarivo;Angavobe;-18.91805;47.9436;Precise;NA;;;NA;NA;19.2;1716
BFA153;BFR020;Madagascar;Antananarivo;Antananarivo;Angavokely;-18.93245;47.757417;Precise;NA;;;NA;NA;16.6;1383
BFA154;BFR021;Brazil;Rio Grande do Sul;Santa Maria;Morro do Elefante;-29.66667;-53.71666667;Precise;Atlantic forest;Rain forest;Atlantic forest;199-462;NA;18.4;1701
BFA155;BFR022;Canada;British Columbia;Southern interior British Columbia;West Arm Demonstration Forest and Pend d'Oreille Valley;49.33333;-117.2666667;Precise;NA;;;NA;NA;5.2;827
BFA156;BFR022;Canada;British Columbia;Southern interior British Columbia;Okanagan Valley;49.13333;-119.5;Precise;NA;;;NA;NA;9;292
BFA157;BFR023;Mexico;Chiapas;Tapachula;Finca San Carlos;15.11756;-92.22786111;Precise;Montain rain forest with coffee plantations;;;1100;NA;21.7;3861
BFA158;BFR024;Brazil;Pernambuco;Pernambuco;Catimbau National Park (CNP);-8.59230;-37.247671;Not precise;NA;Rainforest;Atlantic forest;NA;yes;21.2;816
BFA159;BFR025;Mexico;Veracruz;Tlalnelhuayocan;Rancho “La Luciérnaga”;19.52025;-96.98830556;Precise;Bosque Mesofilo de Montaña;;;1500-1700;NA;17.8;1708
BFA160;BFR026;Mexico;Veracruz;Las Choapas;Cueva Reyes;17.26402;-93.86988333;Precise;Cueva;;;50-1400;NA;25.8;3172
BFA161;BFR026;Mexico;Veracruz;Las Choapas;Desengaño;17.32340;-93.9769;Precise;Selva alta perennifolia;;;50-1400;NA;24.8;3426
BFA162;BFR026;Mexico;Veracruz;Las Choapas;Jaguar;17.20000;-94.0424;Precise;Selva alta perennifolia;;;50-1400;NA;23.6;2660
BFA163;BFR026;Mexico;Veracruz;Las Choapas;Primitivo R. Valencia;17.26402;-93.86988333;Precise;Acahual de selva alta perennifolia;;;50-1400;NA;25.8;3172
BFA164;BFR026;Mexico;Veracruz;Las Choapas;Rancho El Saguayo;17.85105;-94.1086;Precise;Plantación de hule;;;50-1400;NA;25.7;2480
BFA165;BFR026;Mexico;Veracruz;Las Choapas;Rancho Santa Cruz;17.77990;-94.11633333;Precise;Plantación de hule;;;50-1400;NA;25.5;2546
BFA166;BFR026;Mexico;Veracruz;Hidalgotitlán;El Fortuño;17.27812;-94.65205;Precise;Acahual de selva alta perennifolia;;;50-1400;NA;25.2;3602
BFA167;BFR026;Mexico;Veracruz;Uxpanapa;Álvaro Obregón;17.29325;-94.38706667;Precise;Plantación de hule;;;50-1400;NA;25.5;3779
BFA168;BFR026;Mexico;Veracruz;Uxpanapa;Arroyo Zarzo;17.20195;-94.47378333;Precise;Selva alta perennifolia;;;50-1400;NA;23.9;3200
BFA169;BFR026;Mexico;Veracruz;Uxpanapa;Benito Juárez;17.45038;-94.31735;Precise;Selva alta perennifolia;;;50-1400;NA;25.6;3233
BFA170;BFR026;Mexico;Veracruz;Uxpanapa;Congregación L. Tamayo;17.17307;-94.01021389;Precise;Cueva;;;50-1400;NA;22.6;1942
BFA171;BFR026;Mexico;Veracruz;Uxpanapa;Cueva de la Virgen;17.44652;-94.30925;Precise;Cueva;;;50-1400;NA;25.5;3293
BFA172;BFR026;Mexico;Veracruz;Uxpanapa;Cueva Guillén;17.27490;-94.48306667;Precise;Cueva;;;50-1400;NA;25.4;3764
BFA173;BFR026;Mexico;Veracruz;Uxpanapa;Poblado 11-Cueva;17.25715;-94.29208333;Precise;Cueva;;;50-1400;NA;25.7;3961
BFA174;BFR026;Mexico;Veracruz;Uxpanapa;Poblado 11-Hular;17.24572;-94.28456667;Precise;Plantación de hule;;;50-1400;NA;25.7;4004
BFA175;BFR026;Mexico;Veracruz;Uxpanapa;La Cuchilla;17.38548;-94.41838333;Precise;Cueva;;;50-1400;NA;25.3;3442
BFA176;BFR026;Mexico;Veracruz;Uxpanapa;La Joya;17.21290;-94.28498333;Precise;Cueva;;;50-1400;NA;24.7;3865
BFA177;BFR026;Mexico;Veracruz;Uxpanapa;Liberales;17.29535;-94.1574;Precise;Acahual de selva alta perennifolia;;;50-1400;NA;25.3;4066
BFA178;BFR026;Mexico;Veracruz;Uxpanapa;Nuevo Córdoba;17.29535;-94.07461667;Precise;Selva alta perennifolia;;;50-1400;NA;23.5;2845
BFA179;BFR026;Mexico;Veracruz;Uxpanapa;Plan de Arroyo;17.23575;-94.63351667;Precise;Plantación de hule;;;50-1400;NA;25.3;3716
BFA180;BFR026;Mexico;Veracruz;Uxpanapa;Poblado 12-Horqueta;17.22077;-94.20563333;Precise;Plantación de hule;;;50-1400;NA;25.8;4076
BFA181;BFR026;Mexico;Veracruz;Uxpanapa;Progreso-Chapultepec;17.38950;-94.06361667;Precise;Selva alta perennifolia;;;50-1400;NA;25.5;3507
BFA182;BFR026;Mexico;Veracruz;Uxpanapa;Río Grande;17.27328;-94.36215;Precise;Cueva;;;50-1400;NA;25.7;3812
BFA183;BFR026;Mexico;Veracruz;Uxpanapa;Úrsulo Galván;17.22577;-94.48468333;Precise;Acahual de selva alta perennifolia;;;50-1400;NA;24.8;3698
BFA184;BFR027;Mexico;Yucatan;Huhı´;Cenote Usil;20.70524;-89.20096667;Precise;Selva baja y media caducifolia;;;NA;NA;26.1;1089
BFA185;BFR027;Mexico;Yucatan;Homún;Cenote Acula;20.71451;-89.25430833;Precise;Selva baja y media caducifolia;;;NA;NA;26.1;1080
BFA186;BFR027;Mexico;Yucatan;Homún;Ejido Homu´ n;20.77234;-89.26692222;Precise;Selva baja y media caducifolia;;;NA;NA;26;1054
BFA187;BFR027;Mexico;Yucatan;Tunkás;Ejido Tunka´s;20.90099;-88.751303;Not precise;Selva baja y media caducifolia;;;NA;NA;25.9;1131
BFA188;BFR027;Mexico;Yucatan;Tunkás;Cenote Tepaka´n;20.88600;-88.68301944;Precise;Selva baja y media caducifolia;;;NA;NA;25.9;1168
BFA189;BFR027;Mexico;Yucatan;Espita;Ex Hacienda Pom;21.06521;-88.42101667;Precise;Selva baja y media caducifolia;;;NA;NA;25.6;1130
BFA190;BFR027;Mexico;Yucatan;Espita;Cenote Pom;21.10683;-88.43851389;Precise;Selva baja y media caducifolia;;;NA;NA;25.6;1117
BFA191;BFR027;Mexico;Yucatan;Buctzotz;Cenote X-limon-Ha;21.18176;-88.6368;Precise;Selva baja y media caducifolia;;;NA;NA;25.8;1081
BFA192;BFR027;Mexico;Yucatan;Buctzotz;Rancho Santa Cruz;21.19020;-88.54203333;Precise;Selva baja y media caducifolia;;;NA;NA;25.7;1069
BFA193;BFR027;Mexico;Yucatan;Buctzotz;Rancho El Roble;21.21571;-88.72906111;Precise;Selva baja y media caducifolia;;;NA;NA;25.8;1064
BFA194;BFR027;Mexico;Yucatan;Buctzotz;Cenote Azul;21.22719;-88.67926667;Precise;Selva baja y media caducifolia;;;NA;NA;25.8;1042
BFA195;BFR027;Mexico;Yucatan;Quintana Roo;Cenote Kax Ek;20.88028;-88.6217;Precise;Selva baja y media caducifolia;;;NA;NA;25.8;1195
BFA196;BFR027;Mexico;Yucatan;Hunucma;Huerto Hunucma;21.00906;-89.86411111;Precise;Selva baja y media caducifolia;;;NA;NA;25.8;751
BFA197;BFR028;Brazil;Santa Catarina;Praia Grande;National Park of Aparados da Serra;-29.17758;-50.106547;Not precise;Ombrophylous dense submontane forest;Rainforest;Atlantic forest;NA;yes;15.1;1895
BFA197;BFR028;Brazil;Santa Catarina;Criciúma;Peirurban matrix of Criciúma municipality;-28.67748;-49.370417;Not precise;Ombrophylous dense submontane forest;Rainforest;Atlantic forest;NA;NA;19.5;1356
BFA198;BFR029;Costa Rica;Costa Rica;Costa Rica;Costa Rica;9.74743;-83.752024;Not precise;NA;;;NA;NA;19.2;4515
BFA199;BFR029;Honduras;Honduras;Honduras;Honduras;15.19700;-86.24052;Not precise;NA;;;NA;NA;22.7;1375
BFA200;BFR029;Mexico;Mexico;Mexico;Mexico;23.63451;-102.55278;Not precise;NA;;;NA;NA;16.2;355
BFA201;BFR029;Panama;Panama;Panama;Panama;8.53798;-80.782127;Not precise;NA;;;NA;NA;20.7;2618
BFA202;BFR029;Trinidad;;;;10.69180;-61.222503;Not precise;NA;;;NA;NA;23.9;2759
BFA203;BFR030;Brazil;Minas Gerais;;Lagoa do Cajueiro State Park (PELC), Jaíba Biological Reserve, Serra Azul Biological Reserve, and Serra do Cipó National Park.;-17.67400;-43.8579;Not precise;Tropical dry forest, Cerrado and rupestrian grasslands;Semideciduous forest;Atlantic forest;NA;NA;21.1;1215
BFA204;BFR031;Brazil;Maranhão;São Luís;São Luís;-2.82885;-43.9971;Not precise;NA;;;NA;NA;27;1769
BFA205;BFR032;Philippines;Mindoro Oriental Province;Mindoro;Naujan Lake national park;13.11005;121.317214;Not precise;NA;;;NA;NA;27.4;2118
BFA206;BFR033;Paraguay;Central;Central;Central;-23.65050;-57.63816667;Precise;NA;;;120;NA;23.6;1245
BFA206;BFR033;Paraguay;Presidente Hayes;Presidente Hayes;Presidente Hayes;-25.07100;-58.57983333;Precise;NA;;;120;NA;22.8;1089
BFA206;BFR033;Paraguay;Cordillera;Cordillera;Cordillera;-25.94517;-56.60133333;Precise;NA;;;100;NA;21.9;1419
BFA206;BFR033;Paraguay;Paraguari;Paraguari;Paraguari;-23.25233;-57.44666667;Precise;NA;;;120;NA;23.8;1348
BFA206;BFR033;Paraguay;Concepción;Concepción;Concepción;-21.03950;-57.49283333;Precise;NA;;;120;NA;25.1;1220
BFA206;BFR033;Paraguay;Alto Paraguay;Alto Paraguay;Alto Paraguay;-20.08533;-59.472034;Not precise;NA;;;120;NA;25;845
BFA206;BFR033;Paraguay;Misiones;Misiones;Misiones;-26.75767;-56.83583333;Precise;NA;;;70;NA;22;1605
BFA206;BFR033;Paraguay;Itapúa;Itapúa;Itapúa;-20.18300;-55.86116667;Precise;NA;;;170;NA;24.6;1417
BFA206;BFR033;Paraguay;Alto Paraguay;Alto Paraguay;Alto Paraguay;-23.80833;-58.157;Precise;NA;;;90;NA;23.7;1084
BFA206;BFR033;Paraguay;San Pedro;San Pedro;San Pedro;-22.63167;-56.128;Precise;NA;;;250;NA;23;1395
BFA206;BFR033;Paraguay;Amambay;Amambay;Amambay;-22.63183;-56.02383333;Precise;NA;;;280;NA;23.2;1398
BFA206;BFR033;Paraguay;Concepción;Concepción;Concepción;-26.12817;-57.0225;Precise;NA;;;270;NA;22;1413
BFA206;BFR033;Paraguay;Neembucú;Neembucú;Neembucú;-24.49867;-58.12433333;Precise;NA;;;60;NA;23.2;1026
BFA206;BFR033;Paraguay;Canindeyú;Canindeyú;Canindeyú;-23.27867;-55.50566667;Precise;NA;;;250;NA;21.5;1551
BFA206;BFR033;Paraguay;Presidente Hayes;Presidente Hayes;Presidente Hayes;-21.48017;-57.54866667;Precise;NA;;;80;NA;24.9;1280
BFA206;BFR033;Paraguay;Alto Paraguay;Alto Paraguay;Alto Paraguay;-23.45267;-59.55216667;Precise;NA;;;70;NA;23.5;830
BFA206;BFR033;Paraguay;Presidente Hayes;Presidente Hayes;Presidente Hayes;-22.45267;-59.80716667;Precise;NA;;;120;NA;24.7;665
BFA206;BFR033;Paraguay;Boqueron;Boqueron;Boqueron;-24.50717;-62.34416667;Precise;NA;;;240;NA;22.8;666
BFA206;BFR033;Paraguay;Canindeyú;Canindeyú;Canindeyú;-25.53833;-54.6375;Precise;NA;;;300;NA;21.3;1707
BFA206;BFR033;Paraguay;Caazapá;Caazapá;Caazapá;-26.07733;-55.48366667;Precise;NA;;;300;NA;20.9;1632
BFA206;BFR033;Paraguay;Paraguari;Paraguari;Paraguari;-21.19000;-56.84966667;Precise;NA;;;150;NA;22.5;1347
BFA206;BFR033;Paraguay;Boqueron;Boqueron;Boqueron;-19.54850;-61.69683333;Precise;NA;;;250;NA;24.7;501
BFA206;BFR033;Paraguay;Alto Paraguay;Alto Paraguay;Alto Paraguay;-26.36333;-60.52733333;Precise;NA;;;150;NA;21.7;956
BFA206;BFR033;Paraguay;Itapuá;Itapuá;Itapuá;-26.36333;-55.52416667;Precise;NA;;;400;NA;20.1;1676
BFA207;BFR034;Mexico;Tamaulipas;Tamauín ;Cave on the property of the Hotel Taninul, Taninul 1;21.93687;-98.888969;Not precise;NA;;;NA;NA;25.1;1201
BFA208;BFR035;Brazil;Rio de Janeiro;Nova Iguaçu;Tinguá Biological Reserve;-22.59490;-43.42070;Not precise;NA;Rain forest;Atlantic forest;NA;NA;23.3;1673
BFA209;BFR036;Brazil;Mato Grosso do Sul ;Nova Andradina;The legal reserve of Fazenda Dona Amélia;-22.21037;-53.47654889;Precise;Cerrado with influences of Atlantic rainforest;Seasonal floodplain forest;Atlantic forest;NA;NA;22.9;1410
BFA210;BFR037;Brazil;São Paulo;Cananéia;Parque Estadual da Ilha do Cardoso;-25.13359;-47.9416;Not precise;Atlantic forest;Rainforest;Atlantic forest;NA;NA;22.5;2511
BFA211;BFR038;Colombia;Sucre;Sucre;Reserva Forestal Protectora Serranía de Coraza;9.53278;-75.34995833;Precise;tropical dry forest ;;;NA;NA;26.4;1337
BFA212;BFR039;Brazil;Mato Grosso do Sul ;Jardim;southern part of the Serra da Bodoquena National Park, on the Campo  Verde farm;-21.41333;-56.77555556;Precise;savannah forests associated with karstic reliefs and rocky soils;Semideciduous forest;Atlantic forest;NA;NA;22.8;1357
BFA213;BFR040;Brazil;Bahia;Santa Cruz de Cabrália;Cave da Reserva Particular do Patrimonio Natural Estação Veracel;-16.38856;-39.16883333;Precise;Atlantic rain forest with human-made structure;Rainforest;Atlantic forest;NA;NA;24;1480
BFA214;BFR040;Brazil;Bahia;Santa Cruz de Cabrália;Cave da Reserva Particular do Patrimonio Natural Estação Veracel;-16.38856;-39.16883333;Precise;Atlantic rain forest;Rainforest;Atlantic forest;NA;NA;24;1480
BFA215;BFR041;Brazil;Rio de Janeiro;Mangaratiba;Marambaia Island ;-23.06756;-43.88312;Not precise;Forest remnants, mangrove patches and dunes;Rain forest;Atlenctic forest;NA;yes;23.4;1343
BFA215;BFR041;Brazil;Rio de Janeiro;Seropédica;Campus of the Federal Rural University of Rio de Janeiro;-22.80750;-43.62138889;Precise;Experimental plantations of coffee, cocoa and banana;Rain forest;Atlantic forest;NA;NA;23.7;1322
BFA216;BFR042;Spain;Cataluña;Cataluña;Northeat of Spain ;41.59116;1.520863;Precise;NA;;;NA;NA;13.5;651
BFA217;BFR043;Panama;Veraguas province;Montijo and Soná;Coiba National Park (CNP);7.46086;-81.73048;Not precise;NA;;;NA;NA;25.9;3322
BFA218;BFR044;Brazil;Brasilia;Brasilia Federal Distric;Area de Proteção Ambiental de Cafuringa (APAC);-15.73244;-47.81666667;Precise;Cerrado;Seasonal riverine forest;Cerrado;NA;YES;21.1;1532
BFA219;BFR045;Australia;Victoria;New South Wales and South Australia;;-37.00747;143.388006;Not precise;NA;;;NA;NA;13.8;577
BFA220;BFR046;Brazil;Rio de Janeiro;Engenheiro Paulo de Frotin, in Pau Ferro Mountain Range;Instituto Zoobotanico de Morro Azul (IZMA);-22.48333;-43.56666667;Precise;Semi-deciduous forest;Rain forest;Atlantic forest;671-825;YES;20.3;1528
BFA221;BFR047;Costa Rica;Costa Rica;Costa Rica;Las Cruces Biological Reserve;8.78333;-82.95;Precise;Pasture, cropland, house and remnant forest fragment;;;1100;YES;20.5;3349
BFA222;BFR048;Brazil;Paraná;Fazenda do Rio Grande;Fazenda Experimental Gralha Azul, pertenecente à Pontificia Universidade Catolica de Paraná;-25.65000;-49.26666667;Precise;Fragmentos forestais;Rainforest;Atlantic forest;NA;NA;16.8;1282
BFA223;BFR049;Brazil;Paraná;São Jose dos Pinhais;Serro e Gemido;-25.53458;-49.203265;Not precise;NA;Rainforest;Atlantic forest;NA;NA;16.9;1281
BFA224;BFR049;Brazil;São Paulo;São Paulo;Parque Estadual Serra da Cantareira;-23.42183;-46.621414;Not precise;NA;Rainforest;Atlantic forest;NA;NA;16.1;1517
BFA225;BFR049;Brazil;São Paulo;Riberão Venerando;Estação Biologica Boraceia;-21.32314;-50.309621;Not precise;NA;Rainforest;Atlantic forest;NA;NA;22.3;1185
BFA226;BFR050;Honduras;Olancho;La Unión, Jano y Esquipulas del Norte;Refugio La Muralla;15.08333333;-86.73333333;Precise;NA;;;NA;NA;19.6;1464
BFA227;BFR051;French Guiana;;Apatou;Apatou;5.15390;-54.339883;Not precise;NA;;;NA;NA;26.6;2373
BFA228;BFR051;French Guiana;;Awala-Yalimapo;Awala-Yalimapo;5.73624;-53.909524;Not precise;NA;;;NA;NA;26.6;1899
BFA229;BFR051;French Guiana;;Camopi;Pic Coudreau du Sud;3.16602;-52.341382;Not precise;NA;;;NA;NA;25.8;2518
BFA230;BFR051;French Guiana;;Grand-Santi;Gaa Kaba (Montagne Francaise);4.25073;-54.38225;Not precise;NA;;;NA;NA;26.4;2465
BFA231;BFR051;French Guiana;;Kourou;Kourou;5.16113;-52.649336;Not precise;NA;;;NA;NA;26;2815
BFA232;BFR051;French Guiana;;Mana;"Crique
Gargoulette along National Road";5.66801;-53.778958;Not precise;NA;;;NA;NA;26.6;1973
BFA233;BFR051;French Guiana;;Maripasoula;Atachi Bakka;3.54914;-53.91562;Not precise;NA;;;NA;NA;22.3;2581
BFA234;BFR051;French Guiana;;Matoury;Lagune Concorde;4.83178;-52.345373;Not precise;NA;;;NA;NA;26.5;3518
BFA235;BFR051;French Guiana;;Montsinery;Crique Cascade;4.89472;-52.502522;Not precise;NA;;;NA;NA;26.3;3215
BFA236;BFR051;French Guiana;;Regina;Approuague Saut Athanase;4.18718;-52.334466;Not precise;NA;;;NA;NA;25.7;3586
BFA237;BFR051;French Guiana;;Regina;Grande Montagne Tortue, piste de Belizon, pK-13;4.30968;-52.134179;Not precise;NA;;;NA;NA;25.8;3747
BFA238;BFR051;French Guiana;;Regina;Grotte Mathilde;4.30968;-52.134179;Not precise;NA;;;NA;NA;25.8;3747
BFA239;BFR051;French Guiana;;Regina;Montagne des Gouffres;4.30968;-52.134179;Not precise;NA;;;NA;NA;25.8;3747
BFA240;BFR051;French Guiana;;Regina;Nouragues;4.30968;-52.134179;Not precise;NA;;;NA;NA;25.8;3747
BFA241;BFR051;French Guiana;;Roura;Cacao;4.54893;-52.491857;Not precise;NA;;;NA;NA;25.9;3695
BFA242;BFR051;French Guiana;;Roura;Crique Boulanger;4.60509;-52.332878;Not precise;NA;;;NA;NA;26;3785
BFA243;BFR051;French Guiana;;Roura;grotte Fourgassié;4.63167;-52.337391;Not precise;NA;;;NA;NA;26.1;3779
BFA244;BFR051;French Guiana;;Roura;Trésor Nature Preservation;4.61021;-52.279023;Not precise;NA;;;NA;NA;24.8;3715
BFA245;BFR051;French Guiana;;Saint-Elie;Trinité Nature Preservation;4.82274;-53.276409;Not precise;NA;;;NA;NA;24.8;2700
BFA246;BFR051;French Guiana;;Saint-Georges-Oyapock;Trois-Palétuviers;4.06667;-51.666667;Not precise;NA;;;NA;NA;25.9;3554
BFA247;BFR051;French Guiana;;Saül;near the village;3.86586;-53.387041;Not precise;NA;;;NA;NA;25.2;2404
BFA248;BFR051;French Guiana;;Sinnamary;Paracou at CIRAD;5.37491;-52.95484;Not precise;NA;;;NA;NA;26.1;2661
BFA249;BFR051;French Guiana;;Sinnamary;Piste de Saint-Elie, pK-15;5.37714;-52.95737;Not precise;NA;;;NA;NA;26.1;2653
BFA250;BFR051;French Guiana;;Sinnamary;National Road, pK-106;5.37714;-52.95737;Not precise;NA;;;NA;NA;26.1;2653
BFA251;BFR051;French Guiana;;Sinnamary;Yiyi;5.37714;-52.95737;Not precise;NA;;;NA;NA;26.1;2653
BFA252;BFR052;Brazil;São Paulo;São Paulo;Estação Ecológica de Caetetus;-22.37500;-49.625;Precise;Forest semideciduos;Rainforest;Atlantic forest;NA;NA;20.4;1293
BFA253;BFR053;Brazil;Goias;Serranopolis;Reserva Particular do Patrimônio Natural Pousada das Araras;-18.41666667;-52;Not precise;Cerrado;Semideciduous forest;Atlantic forest;500-700;YES;24.3;1536
BFA254;BFR054;Mexico;Nuevo Leon;Santiago;Cueva de la Boca;25.43194444;-100.1519444;Precise;Arid region;;;NA;NA;21.9;1006
BFA255;BFR055;Romania; Bihor;Sânmartin;Betfia;46.975559;22.014913;Not precise;NA;;;NA;NA;10.2;623
BFA256;BFR055;Romania;Cluj;Mihai Viteazu;Cheile Turzii;46.56337;23.680659;Not precise;NA;;;NA;NA;7.9;642
BFA257;BFR055;Hungary;Borsod-Abaúj-Zemplén;Edelény;Edelény;48.293439;20.738582;Not precise;NA;;;NA;NA;9.8;552
BFA258;BFR055;Hungary;Eger District of Heves;Felsőtárkány;Felsőtárkány;47.904549;20.338403;Not precise;NA;;;NA;NA;9.7;551
BFA259;BFR055;Romania;Constanta;Targusor;Gura Dobrogei;44.481319;28.524819;Not precise;NA;;;NA;NA;11.4;425
BFA260;BFR055;Hungary;Baranya;Kombloi;Mánfa;46.162022;18.242438;Not precise;NA;;;NA;NA;10.6;655
BFA261;BFR055;Hungary;Borsod-Abaúj-Zemplén;Miskolc;Miskolc;48.103478;20.778438;Not precise;NA;;;NA;NA;10;551
BFA262;BFR055;Hungary;Baranya;Nagyharsány;Nagyharsány;45.846695;18.394778;Not precise;NA;;;NA;NA;11.2;655
BFA263;BFR055;Hungary;Baranya;Szársomlyó;Szársomlyó;45.855556;18.411389;Not precise;NA;;;NA;NA;10.1;691
BFA264;BFR055;Romania;Tulcea;Tulcea;Tulcea;45.171617;28.791442;Not precise;NA;;;NA;NA;11;438
BFA265;BFR056;Mexico;Veracruz;Tilapan;Cave near Tilapan;18.85;-96.66666667;Precise;evergreen forest and riparian vegetation;;;NA;NA;24.7;1460
BFA265;BFR056;Mexico;Puebla;Puebla;Zapotlitan Salinas;18.33333333;-97.46666667;Precise;Cactus forest;;;NA;NA;20.3;424
BFA266;BFR057;Mexico;Jalisco;Chamela;bas;19.592702;-105.044375;Not precise;riparian vegetation, medium forest, low forest;;;NA;NA;26.1;849
BFA267;BFR057;Mexico;Jalisco;Chamela;hn2;19.421689;-104.822458;Not precise;riparian vegetation, medium forest, low forest;;;NA;NA;26.3;852
BFA268;BFR057;Mexico;Jalisco;Chamela;jgp;19.83621;-105.237339;Not precise;riparian vegetation, medium forest, low forest;;;NA;NA;26.2;819
BFA269;BFR057;Mexico;Jalisco;Chamela;lfh;19.421689;-104.822458;Not precise;riparian vegetation, medium forest, low forest;;;NA;NA;26.3;852
BFA270;BFR057;Mexico;Jalisco;Chamela;hn2;19.421689;-104.822458;Not precise;riparian vegetation, medium forest, low forest;;;NA;NA;26.3;852
BFA271;BFR057;Mexico;Jalisco;Chamela;na1;19.74379;-104.93301;Not precise;riparian vegetation, medium forest, low forest;;;NA;NA;24.2;1581
BFA272;BFR057;Mexico;Jalisco;Chamela;na2;19.74379;-104.93301;Not precise;riparian vegetation, medium forest, low forest;;;NA;NA;24.2;1581
BFA273;BFR057;Mexico;Jalisco;Chamela;scu;19.774031;-105.077875;Not precise;riparian vegetation, medium forest, low forest;;;NA;NA;25.9;1074
BFA274;BFR057;Mexico;Jalisco;Chamela;udg;19.592702;-105.044375;Not precise;riparian vegetation, medium forest, low forest;;;NA;NA;26.1;849
BFA275;BFR057;Mexico;Jalisco;Chamela;unam;19.592702;-105.044375;Not precise;riparian vegetation, medium forest, low forest;;;NA;NA;26.1;849
BFA276;BFR057;Mexico;Jalisco;Chamela;zap;19.421689;-104.822458;Not precise;riparian vegetation, medium forest, low forest;;;NA;NA;26.3;852
BFA277;BFR058;Ghana;Greater Accra region;Accra;Accra;5.603558;-0.187083;Not precise;NA;;;NA;NA;26.5;831
BFA278;BFR058;Equatorial Guinea;;Annobón;Island of Annobón;-1.430193;5.635125;Not precise;NA;;;NA;NA;NA;NA
BFA279;BFR058;Equatorial Guinea;;Bioko;Island of Bioko;3.619832;8.748117;Not precise;NA;;;NA;NA;16.2;2644
BFA280;BFR059;United States;Puerto Rico;;Cueva de los Culebrones, Mata de Platano Field Station;18.44;-66.7;Not precise;NA;;;NA;NA;25.6;1424
BFA281;BFR060;Panama;Panama;Panama;Agua Salud 1;9.245869;-79.71819;Not precise;Continuos forest and fragmented forest;;;NA;NA;25.4;2726
BFA281;BFR060;Panama;Panama;Panama;Agua Salud 2;9.245869;-79.71819;Not precise;Continuos forest and fragmented forest;;;NA;NA;25.4;2726
BFA281;BFR060;Panama;Panama;Panama;Agua Salud 3;9.245869;-79.71819;Not precise;Continuos forest and fragmented forest;;;NA;NA;25.4;2726
BFA281;BFR060;Panama;Panama;Panama;Agua Salud 4;9.245869;-79.71819;Not precise;Continuos forest and fragmented forest;;;NA;NA;25.4;2726
BFA281;BFR060;Panama;Panama;Panama;Agua Salud 5;9.245869;-79.71819;Not precise;Continuos forest and fragmented forest;;;NA;NA;25.4;2726
BFA281;BFR060;Panama;Panama;Panama;Agua Salud garden;9.245869;-79.71819;Not precise;Continuos forest and fragmented forest;;;NA;NA;25.4;2726
BFA281;BFR060;Panama;Panama;Panama;Barro Colorado Island, Amourtrail;9.123855;-79.87928;Not precise;Continuos forest and fragmented forest;;;NA;NA;26.7;2470
BFA281;BFR060;Panama;Panama;Panama;Barro Colorado Island, Lab Clearing;9.123855;-79.87928;Not precise;Continuos forest and fragmented forest;;;NA;NA;26.7;2470
BFA281;BFR060;Panama;Panama;Panama;Barro Colorado Island, Miller trail;9.123855;-79.87928;Not precise;Continuos forest and fragmented forest;;;NA;NA;26.7;2470
BFA281;BFR060;Panama;Panama;Panama;Bohio;9.204324;-79.88414;Not precise;Continuos forest and fragmented forest;;;NA;NA;26.6;2765
BFA281;BFR060;Panama;Panama;Panama;Chicha;9.204324;-79.88414;Not precise;Continuos forest and fragmented forest;;;NA;NA;26.6;2765
BFA281;BFR060;Panama;Panama;Panama;Frijoles;9.123855;-79.87928;Not precise;Continuos forest and fragmented forest;;;NA;NA;26.7;2470
BFA281;BFR060;Panama;Panama;Panama;Gigante 1;9.123855;-79.87928;Not precise;Continuos forest and fragmented forest;;;NA;NA;26.7;2470
